날짜,채널구분,품목군,세부품목,박스타입,적재중량또는수량
2026-08-09,스마트스토어,유자청,로우슈거,1구전용박스,1.4
2026-08-09,스마트스토어,유자청,로우슈거,1구전용박스,0.7
2026-08-18,스마트스토어,유자,,1kg박스,0.5
2026-08-18,스마트스토어,유자청,,1구전용박스,0.7
2026-08-18,스마트스토어,유자청,로우슈거,1구전용박스,1.4
2026-08-25,스마트스토어,청유자,,1kg박스,0.5
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,0.5
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,3kg박스,3.0
2026-08-25,스마트스토어,청유자,,1kg박스,0.5
2026-08-25,스마트스토어,청유자,,3kg박스,2.0
2026-08-25,스마트스토어,청유자,,3kg박스,3.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,스마트스토어,청유자,,1kg박스,1.0
2026-08-25,위탁판매자,청유자,,1kg박스,0.5
2026-08-25,위탁판매자,청유자,,1kg박스,1
2026-08-26,스마트스토어,청유자,,1kg박스,0.5
2026-08-26,스마트스토어,청유자,,1kg박스,0.5
2026-08-26,스마트스토어,청유자,,1kg박스,1.0
2026-08-26,스마트스토어,청유자,,1kg박스,1.0
2026-08-27,위탁판매자,청유자,,1kg박스,0.5
2026-08-27,전화문자,유자청,디오가닉,1구전용박스,0.7
2026-08-27,스마트스토어,청유자,,1kg박스,0.5
2026-08-27,스마트스토어,청유자,,1kg박스,0.5
2026-08-27,스마트스토어,청유자,,1kg박스,1
2026-08-30,위탁판매자,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,3kg박스,3.0
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,3kg박스,3.0
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,유자청,로우슈거,1구전용박스,0.7
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,1kg박스,0.5
2026-08-30,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,3kg박스,1.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,3kg박스,3.0
2026-08-31,스마트스토어,청유자,,3kg박스,3.0
2026-08-31,스마트스토어,유자청,로우슈거,1구전용박스,0.7
2026-08-31,스마트스토어,유자청,로우슈거,1구전용박스,0.7
2026-08-31,위탁판매자,청유자,,1kg박스,0.5
2026-08-31,위탁판매자,청유자,,1kg박스,0.5
2026-08-31,위탁판매자,청유자,,1kg박스,0.5
2026-08-31,스마트스토어,청유자,,1kg박스,0.5
2026-08-31,위탁판매자,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,1kg박스,1.0
2026-08-31,위탁판매자,청유자,,1kg박스,1.0
2026-08-31,스마트스토어,청유자,,3kg박스,3.0
2026-08-31,스마트스토어,유자청,,1구전용박스,0.7
2026-08-31,스마트스토어,유자청,로우슈거,1구전용박스,0.7
2026-09-01,스마트스토어,청유자,,1kg박스,1.0
2026-09-01,스마트스토어,청유자,,1kg박스,1.0
2026-09-01,스마트스토어,청유자,,3kg박스,2.0
